video_id,title,channel,published_at,duration_seconds,views,url,matched_keywords
EloLnKTw9BQ,Why Protein Is The Most Underrated Thing In Medicine (Doctor Explains),Doctor Alex,2026-03-06T12:36:08Z,1158,40071,https://www.youtube.com/watch?v=EloLnKTw9BQ,"health, healthy, nutrition, diet, protein, mental, longevity"
rQvmZ6iepqc,The Best Source and Dose of Plant Sterols for Lowering Cholesterol,NutritionFacts.org,2026-03-04T12:59:48Z,395,11204,https://www.youtube.com/watch?v=rQvmZ6iepqc,"health, healthy, nutrition, diet"
siP7JLqCUAc,"The Power Foods Diet with Neal Barnard, M.D",The Real Truth About Health,2025-10-09T18:50:29Z,6289,16755,https://www.youtube.com/watch?v=siP7JLqCUAc,"health, healthy, wellness, nutrition, diet, protein, lifestyle, longevity"
f1a3z5YgymE,The Power of GELATIN OVER 50 - Surprising HEALTH BENEFITS No One Told You About!,Patricia Health and Nutrition,2025-10-19T21:30:15Z,497,247006,https://www.youtube.com/watch?v=f1a3z5YgymE,"health, healthy, nutrition, diet, sleep, habit, weight loss"
TZ0Dm6ULLAw,They KNEW This About Vitamin D (And Ignored It),Dr. Eric Berg DC,2026-01-07T13:01:04Z,627,2634204,https://www.youtube.com/watch?v=TZ0Dm6ULLAw,"health, healthy, nutrition, diet, lifestyle"
yQ5_SGRQD2Q,"Prayer & Meditation for Nervous System Regulation | Restore Calm, Focus, and Stability",Life Science Performance,2026-01-29T11:38:49Z,391,6940,https://www.youtube.com/watch?v=yQ5_SGRQD2Q,"health, stress, mental, meditation, recovery"
EanXu7M0JKI,"Anxiety Explained: Causes, Symptoms, and Treatment — With Dr. Barakat",Talking With Docs,2026-03-01T20:00:07Z,1463,70970,https://www.youtube.com/watch?v=EanXu7M0JKI,"health, sleep, stress, mental, lifestyle"
tulwFUnbWa8,Half A Teaspoon Per Day Shocked Scientists! Fights Inflammation & Rivaled Antibiotics!,Plant Based Science London,2026-03-06T19:45:03Z,224,12353,https://www.youtube.com/watch?v=tulwFUnbWa8,"health, nutrition, diet, weight loss"
hGXZ4S4tm7s,CANCER UPDATE+WHY I'M NO LONGER SOS-FREE VEGAN: DOWNSIDE OF DIETARY PERFECTION WITH DR MATT LEDERMAN,CHEF AJ,2025-11-12T22:16:01Z,6034,169812,https://www.youtube.com/watch?v=hGXZ4S4tm7s,"health, wellness, nutrition, diet, lifestyle"
GW8pHSIrov8,Doctor Explains: One Oil That Helps Lower Blood Sugar and Support Heart Health,Dr. Williams Thompson | Useful Senior Health,2026-03-06T00:35:21Z,2361,27148,https://www.youtube.com/watch?v=GW8pHSIrov8,"health, healthy, nutrition, diet, sleep, stress, lifestyle, habit"
37PK3swQGFs,The Carnivore Diet: Will It Save You or Kill You? (Forensic Analysis),"Dr. Amin Hedayat, MD",2026-01-31T16:30:04Z,1925,26282,https://www.youtube.com/watch?v=37PK3swQGFs,"health, nutrition, diet, exercise, longevity, weight loss"
fD5egN-B5y8,Zone 2 vs HIIT: What Actually Works for Midlife Women’s Hormones & Fat Loss? | Dr Vonda Wright,"Dr. Vonda Wright, MD",2026-02-01T11:01:00Z,996,81262,https://www.youtube.com/watch?v=fD5egN-B5y8,"health, healthy, nutrition, fitness, longevity, fat loss"
EQ5xbJWaKww,3g Makes You SLEEP DEEP Without Waking Up to Pee!,MMHealth,2025-11-13T07:36:06Z,208,98605,https://www.youtube.com/watch?v=EQ5xbJWaKww,"health, healthy, wellness, nutrition, diet, exercise, sleep, recovery, longevity"
gNV2E5YaZuQ,The Growing Health Impact of Air Pollution: What Should India Do? | Dr. Sanjeev Bagai at AAD 2026,Down To Earth,2026-02-26T11:47:50Z,310,16392,https://www.youtube.com/watch?v=gNV2E5YaZuQ,"health, mental"
